Time,Subtitle,Machine Translation,Transliteration
17:11,这人使妖法！给我上,"this man uses magic!  Give me the top,",zhè rén  shǐ  yāo fǎ  ！  gěi  wǒ  shàng 
17:30,嗯？来呀,"huh?  Come on, let's",ń  ？  lái  ya 
17:32,不打了,not fight anymore.,bù  dǎ  le 
17:33,今天算你赢 你别得意,You win today. Don't be so proud. Let's,jīn tiān  suàn  nǐ  yíng    nǐ  bié  dé yì 
17:35,咱们走着瞧,wait and see.,zán men  zǒu zhe qiáo 
17:44,柱子记得赔啊,Remember to compensate Zhuzi. Got it.,zhù zi  jì de  péi  a 
17:46,知道了,-,zhī dào  le 
17:49,姑娘 可有受伤,"Girl, are",gū niáng    kě  yǒu  shòu shāng 
17:53,你 你要干什么,"you injured? What are you going to do,",nǐ    nǐ  yào  gàn shén me 
17:59,姑娘 你,girl? You,gū niáng    nǐ 
18:00,啊！流氓,!,a  ！  liú máng 
18:05,你裙子破了,"You rascal, your skirt is torn,",nǐ  qún zi  pò  le 
18:10,所以 以后少管闲事,"so in the future, don't mind your own business.",suǒ yǐ    yǐ hòu  shǎo guǎn xián shì 
18:12,主动帮忙还倒挨一耙 全天下也只有你了,"You are the only one in the world who offers to help but gets blamed. Okay, the bill is",zhǔ dòng  bāng máng  hái  dào  āi  yī  bà    quán  tiān xià  yě  zhǐ yǒu  nǐ  le 
18:16,行 账清了 你们走吧,"settled, you can go now.",xíng    zhàng  qīng  le    nǐ men  zǒu  ba 
18:20,谢谢掌柜,"Thank you, boss. By the",xiè xiè  zhǎng guì 
18:22,对了 不知离这最近的明光庙怎么走,"way, I don't know how to get to the nearest Mingguang Temple,",duì  le    bù zhī  lí  zhè  zuì jìn  de  míng guāng  miào  zěn me  zǒu 
18:25,明光庙？我们这没有明光庙,"Mingguang Temple?  We don’t have a Mingguang Temple here, right",míng guāng  miào  ？  wǒ men  zhè  méi yǒu  míng guāng  miào 
18:29,没有？,?  : : : : : : : : : : : : : : :  Is everything,méi yǒu  ？ 
18:31,怎么会,-,zěn me  huì 
18:32,不过…倒有一间南阳庙,-,bù guò  …  dào yǒu  yī jiān  nán yáng  miào 
18:36, 离这儿五里地,-,  lí  zhè ér  wǔ lǐ  dì 
18:37,出了城右转就是了,-,chū  le  chéng  yòu zhuǎn  jiù shì  le 
18:51,奇怪 北方明明是明光将军的地盘,-,qí guài    běi fāng  míng míng  shì  míng guāng  jiāng jūn  de  dì pán 
18:54,却竟然只有南阳庙,-,què  jìng rán  zhǐ yǒu  nán yáng  miào 
19:00,南阳真君主东南 在北方的香火竟也这般旺盛啊,-,nán yáng  zhēn  jūn zhǔ  dōng nán    zài  běi fāng  de  xiāng huǒ  jìng  yě  zhè bān  wàng shèng  a 
19:04,哼,-,hēng 
19:05,不错不错 深受爱戴,-,bù cuò  bù cuò    shēn shòu  ài dài 
19:08,但我有个疑问 不知,-,dàn  wǒ  yǒu gè  yí wèn    bù zhī 
19:10,不知当讲不当讲 那就不要讲,-,bù zhī  dāng  jiǎng  bù dàng  jiǎng    nà  jiù  bú yào  jiǎng 
19:14,其实我想说 不知有谁能解答,-,qí shí  wǒ  xiǎng  shuō    bù zhī  yǒu  shuí  néng  jiě dá 
19:17,太子殿下是不是想问南阳庙的典故,-,tài zi  diàn xià  shì bú shì  xiǎng  wèn  nán yáng  miào  de  diǎn gù 
19:20,典故,-,diǎn gù 
19:21,你闭嘴,-,nǐ  bì zuǐ 
19:22,哼,-,hēng 
19:23,很久以前 南阳将军曾叫俱阳将军 ,-,hěn jiǔ yǐ qián    nán yáng  jiāng jūn  céng  jiào  jù yáng  jiāng jūn   
19:27,可那时有个糊涂的国君 错把俱阳写成臣阳,-,kě  nà shí  yǒu gè  hú tú  de  guó jūn    cuò  bǎ  jù yáng  xiě chéng  chén yáng 
19:33,全天下的俱阳庙都改了名 ,-,quán  tiān xià  de  jù yáng miào  dōu  gǎi  le  míng   
19:37,就这么一传十十传百,-,jiù  zhè me  yī chuán shí  shí chuán bǎi 
19:41,错字早已修正,-,cuò zì  zǎo yǐ  xiū zhèng 
19:42,有什么用呢,-,yǒu  shén me  yòng  ne 
19:43,时至今日 来南阳庙的依然是女客居多吧,-,shí zhì jīn rì    lái  nán yáng  miào  de  yī rán  shì  nǚ kè  jū duō  ba 
19:47,还一个个含羞带怯 小脸通红,-,hái  yí gè gè  hán xiū  dài  qiè    xiǎo  liǎn  tòng hóng 
19:50,少阴阳怪气,-,shǎo  yīn yáng guài qì 
19:52,闲得慌就扫地去,-,xián  dé  huāng  jiù  sǎo dì  qù 
19:55,你说什么,-,nǐ  shuō  shén me 
19:56,哼 ,-,hēng   
19:57,当年你家将军不就是给太子殿下端茶送水 扫地铺床的么,-,dāng nián  nǐ jiā  jiāng jūn  bù  jiù shì  gěi  tài zi  diàn xià  duān chá  sòng shuǐ    sǎo dì  pū chuáng  de me 
20:01,听你这话说的 还以为南阳殿多为太子殿下打抱不平呢,-,tīng  nǐ  zhè huà  shuō  de    hái  yǐ wéi  nán yáng  diàn  duō  wèi  tài zi  diàn xià  dǎ bào bù píng  ne 
20:07,你家将军倒确实忘恩负义,-,nǐ jiā  jiāng jūn  dào  què shí  wàng ēn fù yì 
20:09,太子当年飞升 还点了他的将,-,tài zi  dāng nián  fēi shēng    hái diǎn  le  tā  de  jiāng 
20:11,结果太子被贬 他立刻过河拆桥 ,-,jié guǒ  tài zi  bèi biǎn    tā  lì kè  guò hé chāi qiáo   
20:14,还不许人提这段丑事,-,hái  bù xǔ  rén  tí  zhè duàn  chǒu shì 
20:15,你家将军也不过五十步笑百步,-,nǐ jiā  jiāng jūn  yě  bù guò  wǔ shí bù xiào bǎi bù 
20:18,说是太子侍卫 忠心耿耿,-,shuō  shì  tài zi  shì wèi    zhōng xīn gěng gěng 
20:20,最后还不是背信弃义 抛弃主人,-,zuì hòu  hái  bú shì  bèi xìn qì yì    pāo qì  zhǔ rén 
20:24,你们,-,nǐ men 
20:38,别吃了,-,bié  chī  le 
20:41,落灰了还吃,-,luò huī  le  hái  chī 
20:43,停下,-,tíng xià 
20:47,第一 你们口中的太子殿下 正是本人,-,dì yī    nǐ men  kǒu zhōng  de  tài zi  diàn xià    zhèng shì  běn rén 
20:51,我都没说话 你们就不要把我当刀使,-,wǒ  dōu  méi  shuō huà    nǐ men  jiù  bú yào  bǎ  wǒ  dāng  dāo  shǐ 
20:55,第二 既然你们来协助我 ,-,dì èr    jì rán  nǐ men  lái  xié zhù  wǒ   
20:58,那我们到底谁听谁的,-,nà  wǒ men  dào dǐ  shuí  tīng  shuí  de 
21:00,听你的,-,tīng  nǐ  de 
21:02,好 ,-,hǎo   
21:04,那我们来办正事吧,-,nà  wǒ men  lái bàn  zhèng shì  ba 
21:05,谁借我点法力 我要联系灵文,-,shuí  jiè  wǒ  diǎn  fǎ lì    wǒ  yào  lián xì  líng wén 
21:09,你自己的法力呢,-,nǐ  zì jǐ  de  fǎ lì  ne 
21:11,我的不够,-,wǒ  de  bù gòu 
21:22,太子殿下？,-,tài zi  diàn xià  ？ 
21:23,北方可还顺利？,going well in the North?,běi fāng  kě  hái  shùn lì  ？ 
21:25,两位小神官的助力如何,How is the help of the two young priests?,liǎng wèi  xiǎo  shén guān  de  zhù lì  rú hé 
21:28,还好 各有千秋 都是可塑之才,"Fortunately, each has his own strengths and is talented.",hái hǎo    gè yǒu qiān qiū    dōu  shì  kě sù  zhī  cái 
21:32,那就好,That's good. The,nà jiù hǎo 
21:33,北方是裴将军坐镇之地 香火很旺,north is where General Pei is stationed. The incense is very prosperous.,běi fāng  shì  péi jiāng jūn  zuò zhèn  zhī  dì    xiāng huǒ  hěn wàng 
21:37,若是有需要 可在他的明光殿落脚,"If necessary, you can stay in his Mingguang Temple.",ruò  shì  yǒu  xū yào    kě  zài  tā  de  míng guāng  diàn  luò jiǎo 
21:40,我们并未找到明光殿,"We didn't find the Mingguang Temple,",wǒ men  bìng wèi  zhǎo dào  míng guāng  diàn 
21:42,便在一间南阳庙歇下了,so we stayed in a Nanyang Temple.,biàn  zài  yī jiān  nán yáng  miào  xiē xià  le 
21:44,没有明光殿？这倒是奇了,No Mingguang Temple?  This is strange. Is there,méi yǒu  míng guāng  diàn  ？  zhè  dào  shì  qí  le 
21:46,关于诡新郎 还有更多情报吗,"any more information about the strange bridegroom? Yes, the",guān yú  guǐ  xīn láng    hái yǒu  gèng  duō  qíng bào  ma 
21:50,有,-,yǒu 
21:52,诡新郎的评级出来了,rating of the strange bridegroom is out. It is ranked,guǐ  xīn láng  de  píng jí  chū lái  le 
21:54, 位于恶、厉、凶、绝中的第三等 ,"third among evil, fierce, fierce and absolute, second",  wèi yú  è  、  lì  、  xiōng  、  jué zhōng  de  dì sān  děng   
21:59,仅次于绝,only to,jǐn cì yú  jué 
22:01,若放任下去 必定危害重大 伏尸千里,"absolute. If left unchecked, it will definitely cause great harm and thousands of corpses will be",ruò  fàng rèn  xià qù    bì dìng  wēi hài  zhòng dà    fú shī  qiān lǐ 
22:07,还请殿下速战速决,"scattered. Your Highness, please make a quick decision. It took",hái  qǐng  diàn xià  sù zhàn sù jué 
22:12,这么久才出个评级,so long to come up with a rating. The,zhè me jiǔ  cái  chū  gè  píng jí 
22:14,灵文殿效率也太低了,efficiency of Lingwen Palace is too low. The strange,líng wén diàn  xiào lǜ  yě  tài  dī  le 
22:17,诡新郎是凶,bridegroom is a vicious person and the,guǐ  xīn láng  shì  xiōng 
22:18,危害不容小觑,harm cannot be underestimated.,wēi hài  bù róng  xiǎo qù 
22:20,我们要尽快解决,We must solve it as soon as possible.,wǒ men  yào  jǐn kuài  jiě jué 
22:22, 你们有什么想法,What do you think?,  nǐ men  yǒu  shén me  xiǎng fǎ 
22:25,诡新郎既然对新娘子有兴趣,"Since the strange bridegroom is interested in the bride,",guǐ  xīn láng  jì rán  duì  xīn niáng zi  yǒu  xìng qù 
22:27,那便用新娘引他出来,then use the bride to lure him out. But,nà  biàn  yòng  xīn niáng  yǐn  tā  chū lái 
22:29,可假人和障眼法对凶行不通 ,dummies and sleight of hand don't work on vicious people. We,kě  jiǎ rén  hé  zhàng yǎn fǎ  duì  xiōng  xíng bù tōng   
22:31,还是得用活人,still have to use living people.,hái shì  dé  yòng  huó rén 
22:33,并非所有的新娘都会失踪,Not all brides will disappear. There,bìng fēi  suǒ yǒu  de  xīn niáng  dōu  huì  shī zōng 
22:35,应该还有别的条件,should be other conditions. Who cares? Find a,yīng gāi  hái yǒu  bié de  tiáo jiàn 
22:37,管他的 ,-,guǎn  tā  de   
22:39,找个女子来做诱饵 试了再说,"woman as bait and try it. No,",zhǎo  gè  nǚ zǐ  lái  zuò  yòu ěr    shì  le  zài shuō 
22:41,不行,-,bù xíng 
22:42, 万一失手 一个弱女子就是死路一条,"if you fail, a weak woman will be dead. Humph, you",  wàn yī  shī shǒu    yí gè  ruò nǚ zǐ  jiù shì  sǐ lù yī tiáo 
22:45,哼 不能找女子 你还想找男人,"can't find a woman, and you still want to find a man. Where can you find",hēng    bù néng  zhǎo  nǚ zǐ    nǐ  hái  xiǎng  zhǎo  nán rén 
22:48,上哪儿找个男人愿意扮...呃...,a man who is willing to pretend to be... uh...,shàng  nǎ ér  zhǎo  gè  nán rén  yuàn yì  bàn  ...  è  ... 
22:52,诶！,eh!,éi  ！ 
22:55,啊？,ah?,a  ？ 
23:15,如果我是诡新郎,"If I were the tricky groom,",rú guǒ  wǒ  shì  guǐ  xīn láng 
23:17,谁要送这种女人给我…,who would send such a woman to me...,shuí  yào  sòng  zhè zhǒng  nǚ rén  gěi  wǒ  … 
23:19,你就灭了那个镇子？,would you destroy the town?  : : : : : : : : : : : : : : :,nǐ  jiù  miè  le  nà gè  zhèn zi  ？ 
23:20,我就杀了这个女人,-,wǒ  jiù  shā  le  zhè gè  nǚ rén 
23:22,那只能说 幸好我不是,-,nà  zhǐ néng  shuō    xìng hǎo  wǒ  bú shì 
23:24,公 公子,-,gōng    gōng zi 
23:28,你是,-,nǐ  shì 
23:30,你是昨天那个,-,nǐ  shì  zuó tiān  nà gè 
23:32,不不 你不要误会,-,bù  bù    nǐ  bú yào  wù huì 
23:34,我 我没有这种爱好,-,wǒ    wǒ  méi yǒu  zhè zhǒng  ài hào 
23:36,只是为了引出诡新郎 所以...,-,zhǐ shì  wèi le  yǐn chū  guǐ  xīn láng    suǒ yǐ  ... 
23:41,公子 昨天真抱歉 是我误会你了,-,gōng zi    zuó tiān  zhēn  bào qiàn    shì  wǒ  wù huì  nǐ  le 
23:44,听茶摊掌柜说 你们在这儿歇脚 ,-,tīng  chá tān  zhǎng guì  shuō    nǐ men  zài  zhè ér  xiē jiǎo   
23:46,我就带了些吃的来 谢谢你们帮我,-,wǒ  jiù  dài  le  xiē  chī  de  lái    xiè xiè nǐ men  bāng  wǒ 
23:49,举手之劳 姑娘不必在意,-,jǔ shǒu zhī láo    gū niáng  bù bì  zài yì 
23:52,公子 我会改衣服 也会梳妆打扮,-,gōng zi    wǒ huì  gǎi  yī fú    yě  huì  shū zhuāng dǎ bàn 
23:56,要不 我来帮你扮新娘子吧,-,yào  bù    wǒ  lái  bāng  nǐ  bàn  xīn niáng zi  ba 
23:59,这...,-,zhè  ... 
24:12,情况如何,-,qíng kuàng  rú hé 
24:13,轿夫花重金聘了,-,jiào fū  huā  zhòng jīn  pìn  le 
24:14,而且都是当地人,-,ér qiě  dōu  shì  dāng dì rén 
24:16,会些功夫 熟悉道路 能自保,-,huì  xiē  gōng fū    shú xī  dào lù    néng  zì bǎo 
24:20,太子殿下还是多关心自己,-,tài zi  diàn xià  hái shì  duō  guān xīn  zì jǐ 
24:24,他们果然是来抢悬赏的,-,tā men  guǒ rán  shì  lái  qiǎng  xuán shǎng  de 
24:26,小萤这丫头 自己人不帮 偏偏胳膊肘往外拐,-,xiǎo yíng  zhè  yā tou    zì jǐ  rén  bù  bāng    piān piān  gē bó zhǒu  wǎng  wài  guǎi 
24:30,对吧 小彭,-,duì  ba    xiǎo péng 
24:32, 螳螂捕蝉 黄雀在后 ,-,  táng láng bǔ chán    huáng què zài hòu   
24:34,看谁斗得过谁,-,kàn  shuí  dòu  dé  guò  shuí 
24:36,走,-,zǒu 
24:37,嗯 跟上 走,- -,ń    gēn shàng    zǒu 
24:46,小姐 高龄出嫁出阁 感受如何啊,-,xiǎo jiě    gāo líng  chū jià  chū gé    gǎn shòu  rú hé  a 
24:50,甚感遗憾 这送亲队伍里少了很重要的东西,-,shén gǎn  yí hàn    zhè  sòng qīn  duì wǔ  lǐ  shǎo  le  hěn  zhòng yào  de  dōng xī 
24:54,应该都备齐了 还少什么,-,yīng gāi  dōu  bèi qí  le    hái  shǎo  shén me 
24:58,两个陪嫁丫鬟,-,liǎng gè  péi jià  yā huán 
25:00,哼,-,hēng 
25:01,你就当家中贫穷 没钱买丫鬟,-,nǐ  jiù  dāng  jiā zhōng  pín qióng    méi qián mǎi  yā huán 
25:05,好吧,-,hǎo  ba 
25:06,话说 我们到哪儿了,-,huà  shuō    wǒ men  dào  nǎ ér  le 
25:08,进与君山好一会儿了,-,jìn yǔ  jūn shān  hǎo  yī huì er  le 
25:16,怎么了,-,zěn me  le 
25:18,嘘,-,xū 
25:20,你们有听见笑声吗,-,nǐ men  yǒu  tīng jiàn  xiào shēng  ma 
25:23,我没听见任何声音,-,wǒ  méi  tīng jiàn  rèn hé  shēng yīn 
25:25,我也没有,-,wǒ  yě  méi yǒu 
25:28,故意只让我一个人听见,-,gù yì  zhǐ  ràng  wǒ  yí gè  rén  tīng jiàn 
25:32,好 好像有点儿不对劲,-,hǎo    hǎo xiàng  yǒu diǎn ér  bú duì jìn 
25:35,别停 当作无事发生,-,bié  tíng    dàng zuò  wú  shì  fā shēng 
25:41,他在唱歌,-,tā  zài  chàng gē 
25:43,唱的什么,-,chàng  de  shén me 
25:44,泪汪汪 过山岗,-,lèi wāng wāng    guò  shān gǎng 
25:47,盖头下 莫把笑扬,-,gài tóu  xià    mò  bǎ  xiào  yáng 
25:49,什么意思,-,shén me  yì sī 
25:50,警告你不要笑,-,jǐng gào  nǐ  bú yào  xiào 
25:52,也可能是圈套 ,-,yě  kě néng  shì  quān tào   
25:54,或许哭了才会出事,-,huò xǔ  kū  le  cái  huì  chū shì 
25:56,不管我是哭是笑 最坏的结果是什么,-,bù guǎn  wǒ  shì  kū  shì  xiào    zuì  huài  de  jié guǒ  shì  shén me 
26:00,被劫走,-,bèi jié zǒu 
26:02,没错 ,-,méi cuò   
26:03,有一件事 我得告诉你们,-,yǒu  yī jiàn  shì    wǒ  dé  gào sù  nǐ men 
26:06,什么事,-,shén me  shì 
26:08,从上轿起 我就在笑了,-,cóng  shàng  jiào  qǐ    wǒ  jiù  zài  xiào  le 
26:23,狼 是狼 与君山怎么会有狼,-,láng    shì  láng    yǔ  jūn shān  zěn me  huì  yǒu  láng 
26:40,看来是个法阵,-,kàn lái  shì  gè  fǎ  zhèn 
26:41,得找到阵眼,-,dé  zhǎo dào  zhèn yǎn 
26:43,南风 扶摇,-,nán fēng    fú yáo 
26:44,你们那边顶得住吗,-,nǐ men  nà biān  dǐng dé zhù  ma 
26:45,一群畜生 不在话下,-,yī qún  chù shēng    bù zài huà xià 
26:56,鬼啊,-,guǐ  a 
26:58,怎么了,-,zěn me  le 
27:00,你别出来,-,nǐ  bié  chū lái 
27:06,是鄙奴,-,shì  bǐ  nú 
27:07,我最恨这东西,-,wǒ  zuì  hèn  zhè  dōng xī 
27:09,打起来没完没了,-,dǎ  qǐ lái  méi wán méi liǎo 
27:11,被它耗光体力 我们就玩完了,-,bèi  tā  hào guāng  tǐ lì    wǒ men  jiù  wán wán  le 
27:18,灵文殿没说有这个吗,-,líng wén diàn  méi  shuō  yǒu  zhè gè  ma 
27:23,完全没提,-,wán quán  méi  tí 
27:25,来了多少只,-,lái  le  duō shǎo  zhǐ 
27:30,一百多只 可能更多,-,yì bǎi duō zhǐ    kě néng  gèng  duō 
27:33,超过十只就很棘手了 ,-,chāo guò  shí zhǐ  jiù  hěn  jí shǒu  le   
27:35,一百多,-,yì bǎi duō 
27:36,再耗下去就麻烦了,-,zài  hào  xià qù  jiù  má fán  le 
27:42,绞杀,-,jiǎo shā 
27:59,你不是没有法力,-,nǐ  bú shì  méi yǒu  fǎ lì 
28:02,凡事总有例外,-,fán shì  zǒng  yǒu  lì wài 
28:05,你们先走,-,nǐ men  xiān  zǒu 
28:06,什么,-,shén me 
28:07,你们围着轿子 就一直会有东西过来,-,nǐ men  wéi zhe  jiào zi    jiù  yì zhí  huì  yǒu  dōng xī  guò lái 
28:10,打不完的,-,dǎ bù wán  de 
28:11,先带人走,-,xiān dài  rén  zǒu 
28:12,那你,-,nà  nǐ 
28:13,我留下来 会会那诡新郎,-,wǒ  liú xià lái    huì  huì  nà  guǐ  xīn láng 
28:16,有空拉拉扯扯,-,yǒu kòng  lā lā chě chě 
28:17,不如先安顿了他们,-,bù rú  xiān  ān dùn  le  tā men 
28:19,再回来帮忙,-,zài  huí lái  bāng máng 
28:22,这边 我们走,-,zhè biān    wǒ men  zǒu 
29:45,中原有古国仙乐,-,zhōng yuán  yǒu  gǔ guó  xiān lè 
29:48,仙乐有太子谢怜,-,xiān lè  yǒu  tài zi  xiè lián 
29:51,太子心怀苍生 一心修行,-,tài zi  xīn huái  cāng shēng    yī xīn  xiū xíng 
29:54,其美谈 在民间广为流传,- -,qí  měi tán    zài  mín jiān  guǎng wèi liú chuán 
30:00,神武大街惊鸿一瞥,-,shén wǔ  dà jiē  jīng hóng yī piē 
30:15,救坠楼小儿于万民之前,-,jiù  zhuì lóu  xiǎo ér  yú  wàn mín  zhī qián 
30:30,一念桥头激然一剑,-,yī  niàn  qiáo tóu  jī rán  yī jiàn 
30:33,斩厉鬼于三问之间,-,zhǎn  lì guǐ  yú  sān  wèn  zhī jiān 
31:19,天帝感曰,-,tiān dì  gǎn  yuē 
31:20, 此子前途无量非凡,-,  cǐ zi  qián tú wú liàng  fēi fán 
31:23,太子年少飞升 位列仙班,- -,tài zi  nián shào  fēi shēng    wèi liè  xiān bān 
31:56,然好景不长 ,-,rán  hǎo jǐng bù cháng   
31:58,仙乐国难,-,xiān lè  guó nàn 
32:00,太子自私下凡救国无果,-,tài zi  zì sī  xià fán  jiù guó  wú guǒ 
32:03,遭贬凡间,-,zāo  biǎn  fán jiān 
32:05,要我说 风信慕情走得好,-,yào  wǒ  shuō    fēng xìn  mù qíng  zǒu  dé  hǎo 
32:07,感情深有什么用 没前途啊 -神官之耻 三界笑柄,-,gǎn qíng  shēn  yǒu  shén me  yòng    méi qián tú  a    -  shén guān  zhī  chǐ    sān jiè  xiào bǐng 
32:10,之后谢怜又飞升 还不是一炷香就下去了,-,zhī hòu  xiè lián  yòu  fēi shēng    hái  bú shì  yī zhù xiāng  jiù  xià qù  le 
32:59,如果不知为何而活,-,rú guǒ  bù zhī  wèi hé  ér  huó 
33:01, 那就为我活下去吧,-,  nà  jiù  wèi  wǒ  huó xià qù  ba 
